user_id,product,rating
48732,kuda,4
48732,kelinci,2
48732,ayam,2
48732,kuda,5
48732,kuda,4
48732,kelinci,2
48732,ayam,5
48732,ayam,4
48732,kuda,5
48732,sapi,3
47639,kuda,2
47639,kuda,3
47639,kuda,4
47639,kuda,3
47639,kelinci,3
47639,ayam,4
47639,kelinci,5
47639,kelinci,3
47639,kelinci,5
47639,kuda,3
69501,sapi,5
69501,ayam,4
69501,sapi,3
69501,kelinci,4
69501,kelinci,3
69501,sapi,4
69501,sapi,4
69501,sapi,3
69501,kelinci,3
69501,kelinci,3
80854,ayam,2
80854,ayam,5
80854,kelinci,2
80854,sapi,2
80854,sapi,4
80854,ayam,3
80854,kelinci,5
80854,ayam,4
80854,ayam,2
80854,kuda,3
15839,kuda,4
15839,kuda,3
15839,sapi,4
15839,kelinci,3
15839,kelinci,2
15839,kelinci,5
15839,kelinci,2
15839,kuda,5
15839,sapi,3
15839,sapi,4
37475,kuda,2
37475,sapi,5
37475,kuda,2
37475,kelinci,5
37475,kuda,2
37475,kelinci,5
37475,kelinci,5
37475,ayam,3
37475,kuda,5
37475,ayam,3
49937,kuda,5
49937,kuda,4
49937,ayam,4
49937,ayam,4
49937,kuda,5
49937,sapi,3
49937,kelinci,3
49937,ayam,5
49937,kelinci,4
49937,sapi,4
35055,sapi,3
35055,sapi,4
35055,ayam,2
35055,sapi,3
35055,ayam,4
35055,sapi,3
35055,kelinci,2
35055,kelinci,3
35055,kuda,3
35055,kelinci,3
53084,kuda,3
53084,kelinci,2
53084,ayam,5
53084,kelinci,3
53084,kuda,3
53084,kuda,4
53084,sapi,3
53084,ayam,4
53084,kelinci,5
53084,sapi,2
21021,kelinci,2
21021,kelinci,5
21021,sapi,2
21021,sapi,5
21021,sapi,5
21021,sapi,5
21021,sapi,2
21021,kelinci,4
21021,sapi,5
21021,ayam,3
92812,kuda,2
92812,sapi,5
92812,sapi,5
92812,kelinci,3
92812,sapi,4
92812,sapi,4
92812,sapi,4
92812,kelinci,5
92812,sapi,5
92812,kuda,5
93646,kelinci,2
93646,kuda,3
93646,kelinci,5
93646,sapi,3
93646,kuda,3
93646,kelinci,4
93646,ayam,2
93646,sapi,5
93646,kelinci,4
93646,ayam,4
2211,kelinci,5
2211,ayam,3
2211,sapi,4
2211,kuda,3
2211,ayam,2
2211,kelinci,3
2211,sapi,2
2211,ayam,3
2211,kelinci,4
2211,kelinci,4
88076,kelinci,2
88076,ayam,5
88076,ayam,2
88076,ayam,2
88076,kuda,3
88076,ayam,3
88076,ayam,2
88076,ayam,4
88076,kuda,3
88076,ayam,5
44513,kelinci,3
44513,ayam,3
44513,kelinci,5
44513,kelinci,2
44513,kelinci,5
44513,kuda,2
44513,kuda,2
44513,kuda,2
44513,ayam,5
44513,kelinci,2
43155,kuda,4
43155,kuda,5
43155,ayam,4
43155,kuda,2
43155,ayam,3
43155,sapi,2
43155,kuda,4
43155,sapi,4
43155,ayam,5
43155,kelinci,3
33008,kuda,5
33008,ayam,4
33008,kelinci,2
33008,kelinci,3
33008,sapi,2
33008,ayam,2
33008,kelinci,3
33008,kuda,5
33008,kuda,2
33008,sapi,4
59306,kelinci,2
59306,ayam,3
59306,kuda,3
59306,kelinci,3
59306,kelinci,5
59306,sapi,2
59306,kuda,5
59306,kuda,5
59306,ayam,3
59306,kuda,3
24201,ayam,5
24201,kuda,2
24201,sapi,4
24201,kuda,5
24201,ayam,2
24201,ayam,3
24201,sapi,3
24201,kuda,2
24201,kuda,4
24201,sapi,3
96251,kuda,3
96251,kuda,3
96251,ayam,2
96251,kuda,5
96251,kuda,3
96251,sapi,5
96251,sapi,4
96251,kelinci,3
96251,ayam,3
96251,kuda,4
70377,kuda,3
70377,kelinci,5
70377,kuda,2
70377,ayam,5
70377,kelinci,2
70377,ayam,2
70377,kelinci,5
70377,kelinci,5
70377,sapi,5
70377,ayam,5
29864,kuda,4
29864,kuda,3
29864,ayam,2
29864,kuda,5
29864,kuda,5
29864,ayam,5
29864,kelinci,4
29864,ayam,5
29864,kelinci,5
29864,kuda,5
11230,kuda,3
11230,kuda,4
11230,sapi,5
11230,kelinci,2
11230,sapi,2
11230,sapi,2
11230,ayam,4
11230,sapi,4
11230,ayam,2
11230,ayam,5
1534,sapi,4
1534,kelinci,2
1534,kelinci,2
1534,kelinci,5
1534,kelinci,3
1534,kelinci,4
1534,sapi,5
1534,sapi,2
1534,kuda,2
1534,kelinci,5
64817,sapi,4
64817,kuda,3
64817,kelinci,3
64817,ayam,2
64817,kuda,4
64817,sapi,3
64817,ayam,4
64817,ayam,4
64817,ayam,2
64817,kuda,3
18492,sapi,5
18492,ayam,2
